# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.742787204388e-02       3.168179628693e+04 
       3.760247852693e-02       3.153853366740e+04 
       3.777831701738e-02       3.139522071449e+04 
       3.795542925160e-02       3.125222737189e+04 
       3.813385884547e-02       3.110911083694e+04 
       3.831365140575e-02       3.096614183776e+04 
       3.849485464961e-02       3.082316533463e+04 
       3.867751853334e-02       3.068034357749e+04 
       3.886169539085e-02       3.053747093230e+04 
       3.904744008297e-02       3.039479676368e+04 
       3.923481015862e-02       3.025200025497e+04 
       3.942386602878e-02       3.010937907345e+04 
       3.961467115480e-02       2.996667452152e+04 
       3.980729225215e-02       2.982407356848e+04 
       4.000179951144e-02       2.968140318253e+04 
       4.019826683821e-02       2.953876898079e+04 
       4.039677211363e-02       2.939625974962e+04 
       4.059739747821e-02       2.925358929977e+04 
       4.080022964095e-02       2.911087762262e+04 
       4.100536021680e-02       2.896823206362e+04 
       4.121288609538e-02       2.882544639211e+04 
       4.142290984474e-02       2.868266768297e+04 
       4.163554015384e-02       2.853977524529e+04 
       4.185089231848e-02       2.839679503666e+04 
       4.206908877585e-02       2.825374344547e+04 
       4.229025969333e-02       2.811052398526e+04 
       4.251454361849e-02       2.796716533051e+04 
       4.274208819781e-02       2.782363200457e+04 
       4.297305097288e-02       2.767995978224e+04 
       4.320760026430e-02       2.753599426688e+04 
       4.344591615477e-02       2.739186170718e+04 
       4.368819158506e-02       2.724746173739e+04 
       4.393463357821e-02       2.710275700219e+04 
       4.418546461030e-02       2.695771718293e+04 
       4.444092414897e-02       2.681236585967e+04 
       4.470127038427e-02       2.666659687493e+04 
       4.496678218112e-02       2.652043682417e+04 
       4.523776128741e-02       2.637375760057e+04 
       4.551453483818e-02       2.622659884722e+04 
       4.579745820379e-02       2.607887139409e+04 
       4.608691823889e-02       2.593057862645e+04 
       4.638333700032e-02       2.578148720882e+04 
       4.668717601517e-02       2.563176737337e+04 
       4.699894119710e-02       2.548132034158e+04 
       4.731918852922e-02       2.532993104069e+04 
       4.764853065697e-02       2.517770498863e+04 
       4.798764456578e-02       2.502435309519e+04 
       4.833728055739e-02       2.486983626955e+04 
       4.869827278717e-02       2.471414613337e+04 
       4.907155168681e-02       2.455712673224e+04 
       4.945815867341e-02       2.439867699307e+04 
       4.985926364506e-02       2.423854194336e+04 
       5.027618588681e-02       2.407658028333e+04 
       5.071041917029e-02       2.391275407087e+04 
       5.116366203217e-02       2.374666719176e+04 
       5.163785447463e-02       2.357808283554e+04 
       5.213522265879e-02       2.340680994438e+04 
       5.265833357557e-02       2.323239073818e+04 
       5.321016219530e-02       2.305455624582e+04 
       5.379417422846e-02       2.287266872019e+04 
       5.441442837222e-02       2.268626120364e+04 
       5.507570273043e-02       2.249449307770e+04 
       5.578365085150e-02       2.229655207678e+04 
       5.654499322910e-02       2.209127141860e+04 
       5.736774950186e-02       2.187720830537e+04 
       5.826151364575e-02       2.165253976509e+04 
       5.923776661921e-02       2.141473539632e+04 
       6.031020354924e-02       2.116060236100e+04 
       6.149501788892e-02       2.088572121687e+04 
       6.281102206659e-02       2.058445836393e+04 
       6.427938303153e-02       2.024900894785e+04 
       6.592261985865e-02       1.986960542557e+04 
       6.776241751004e-02       1.943391981752e+04 
       6.981594577067e-02       1.892829292574e+04 
       7.209102948614e-02       1.833964379849e+04 
       7.458175928496e-02       1.765953965815e+04 
       7.726713099033e-02       1.688874652562e+04 
       8.011444999506e-02       1.604067312705e+04 
       8.308630573260e-02       1.514098184057e+04 
       8.614758783256e-02       1.422344035154e+04 
       8.926970205547e-02       1.332404440387e+04 
       9.243159685326e-02       1.247532096802e+04 
       9.561881257747e-02       1.170252175736e+04 
       9.882186365469e-02       1.102166620781e+04 
       1.020347088500e-01       1.043959663330e+04 
       1.052535715013e-01       9.954562984516e+03 
       1.084761176480e-01       9.558033080495e+03 
       1.117009149765e-01       9.236321312717e+03 
       1.149270881487e-01       8.972400652033e+03 
       1.181541034701e-01       8.747650035337e+03 
       1.213816359200e-01       8.543564751591e+03 
       1.246094876149e-01       8.343300124562e+03 
       1.278375380211e-01       8.133230757121e+03 
       1.310657136303e-01       7.903783321356e+03 
       1.342939695167e-01       7.650234920848e+03 
       1.375222781304e-01       7.372639664546e+03 
       1.407506224908e-01       7.075168729945e+03 
       1.439789920525e-01       6.765057396444e+03 
       1.472073801948e-01       6.451380092401e+03 
       1.504357826962e-01       6.143698065146e+03 
       1.536641968071e-01       5.850825887572e+03 
       1.568926206863e-01       5.580060486931e+03 
       1.601210530564e-01       5.336484742039e+03 
       1.633494929949e-01       5.122800983530e+03 
       1.665779398055e-01       4.939332606770e+03 
       1.698063929390e-01       4.784303027613e+03 
       1.730348519448e-01       4.654135713465e+03 
       1.762633164406e-01       4.544033273396e+03 
       1.794917860930e-01       4.448452321292e+03 
       1.827202606052e-01       4.361658120222e+03 
       1.859487397091e-01       4.279215147324e+03 
       1.891772231599e-01       4.195506854969e+03 
       1.924057107322e-01       4.106553311543e+03 
       1.956342022175e-01       4.009988430785e+03 
       1.988626974218e-01       3.904979598148e+03 
       2.020911961645e-01       3.792155885129e+03 
       2.053196982768e-01       3.673335873944e+03 
       2.085482036004e-01       3.551182410824e+03 
       2.117767119873e-01       3.428679208074e+03 
       2.150052232983e-01       3.308833918857e+03 
       2.182337374025e-01       3.194228418791e+03 
       2.214622541768e-01       3.086945919444e+03 
       2.246907735054e-01       2.988415577502e+03 
       2.279192952788e-01       2.899408503354e+03 
       2.311478193940e-01       2.820067808863e+03 
       2.343763457534e-01       2.749915455325e+03 
       2.376048742650e-01       2.687965290144e+03 
       2.408334048417e-01       2.632766758880e+03 
       2.440619374009e-01       2.582615255702e+03 
       2.472904718644e-01       2.535693061437e+03 
       2.505190081583e-01       2.490271343550e+03 
       2.537475462122e-01       2.444846999570e+03 
       2.569760859594e-01       2.398305498327e+03 
       2.602046273364e-01       2.349914067191e+03 
       2.634331702829e-01       2.299377038737e+03 
       2.666617147416e-01       2.246759812802e+03 
       2.698902606579e-01       2.192481014273e+03 
       2.731188079798e-01       2.137201282697e+03 
       2.763473566578e-01       2.081766934145e+03 
       2.795759066446e-01       2.027107730351e+03 
       2.828044578952e-01       1.974130204155e+03 
       2.860330103664e-01       1.923610479425e+03 
       2.892615640172e-01       1.876125953171e+03 
       2.924901188084e-01       1.832013347179e+03 
       2.957186747023e-01       1.791318976907e+03 
       2.989472316631e-01       1.753909572155e+03 
       3.021757896564e-01       1.719420361856e+03 
       3.054043486492e-01       1.687415793810e+03 
       3.086329086101e-01       1.657377473531e+03 
       3.118614695087e-01       1.628769674334e+03 
       3.150900313162e-01       1.601056850168e+03 
       3.183185940048e-01       1.573765055470e+03 
       3.215471575477e-01       1.546494887809e+03 
       3.247757219194e-01       1.518964823989e+03 
       3.280042870952e-01       1.491026042091e+03 
       3.312328530516e-01       1.462653187657e+03 
       3.344614197658e-01       1.433967914745e+03 
       3.376899872161e-01       1.405170788040e+03 
       3.409185553813e-01       1.376508253095e+03 
       3.441471242412e-01       1.348256276483e+03 
       3.473756937765e-01       1.320641461801e+03 
       3.506042639684e-01       1.293914130795e+03 
       3.538328347987e-01       1.268228300292e+03 
       3.570614062502e-01       1.243715756074e+03 
       3.602899783060e-01       1.220443923525e+03 
       3.635185509500e-01       1.198404021591e+03 
       3.667471241666e-01       1.177529864675e+03 
       3.699756979406e-01       1.157698910229e+03 
       3.732042722577e-01       1.138743016609e+03 
       3.764328471037e-01       1.120476145546e+03 
       3.796614224651e-01       1.102700749231e+03 
       3.828899983288e-01       1.085270387481e+03 
       3.861185746821e-01       1.068078860186e+03 
       3.893471515129e-01       1.051003337152e+03 
       3.925757288093e-01       1.034039564390e+03 
       3.958043065598e-01       1.017125252506e+03 
       3.990328847535e-01       1.000289492882e+03 
       4.022614633795e-01       9.835601012825e+02 
       4.054900424275e-01       9.669960146341e+02 
       4.087186218875e-01       9.506407223292e+02 
       4.119472017497e-01       9.345991859685e+02 
       4.151757820047e-01       9.189260375035e+02 
       4.184043626435e-01       9.036884252507e+02 
       4.216329436571e-01       8.889201664752e+02 
       4.248615250369e-01       8.746331153980e+02 
       4.280901067747e-01       8.608218857118e+02 
       4.313186888624e-01       8.474677780640e+02 
       4.345472712922e-01       8.345540371689e+02 
       4.377758540564e-01       8.220468182801e+02 
       4.410044371477e-01       8.099114011087e+02 
       4.442330205589e-01       7.981069469204e+02 
       4.474616042831e-01       7.865804979516e+02 
       4.506901883135e-01       7.752845400773e+02 
       4.539187726437e-01       7.641762408111e+02 
       4.571473572671e-01       7.532048474332e+02 
       4.603759421776e-01       7.423676219064e+02 
       4.636045273692e-01       7.316505035583e+02 
       4.668331128360e-01       7.210578844470e+02 
       4.700616985724e-01       7.105987338381e+02 
       4.732902845728e-01       7.002844371354e+02 
       4.765188708319e-01       6.901263732742e+02 
       4.797474573443e-01       6.801408461338e+02 
       4.829760441050e-01       6.703449217935e+02 
       4.862046311091e-01       6.607601026841e+02 
       4.894332183516e-01       6.513992128742e+02 
       4.926618058279e-01       6.422746816584e+02 
       4.958903935335e-01       6.333963210658e+02 
       4.991189814638e-01       6.247542275067e+02 
       5.023475696145e-01       6.163328566814e+02 
       5.055761579813e-01       6.081056775369e+02 
       5.088047465602e-01       6.000618315671e+02 
       5.120333353471e-01       5.921804532453e+02 
       5.152619243381e-01       5.844459803418e+02 
       5.184905135294e-01       5.768474354881e+02 
       5.217191029172e-01       5.693678391927e+02 
       5.249476924979e-01       5.620017502308e+02 
       5.281762822680e-01       5.547382522672e+02 
       5.314048722239e-01       5.475689320920e+02 
       5.346334623624e-01       5.404975458856e+02 
       5.378620526801e-01       5.335269606315e+02 
       5.410906431737e-01       5.266638227694e+02 
       5.443192338403e-01       5.199183476452e+02 
       5.475478246766e-01       5.132968577141e+02 
       5.507764156797e-01       5.067974281073e+02 
       5.540050068467e-01       5.004206107074e+02 
       5.572335981747e-01       4.941658496878e+02 
       5.604621896609e-01       4.880322922328e+02 
       5.636907813027e-01       4.820135186348e+02 
       5.669193730972e-01       4.761142359039e+02 
       5.701479650420e-01       4.703305076934e+02 
       5.733765571345e-01       4.646588262197e+02 
       5.766051493722e-01       4.590921972006e+02 
       5.798337417526e-01       4.536209070437e+02 
       5.830623342735e-01       4.482389247734e+02 
       5.862909269324e-01       4.429403831345e+02 
       5.895195197270e-01       4.377239363856e+02 
       5.927481126553e-01       4.325856687067e+02 
       5.959767057149e-01       4.275283490555e+02 
       5.992052989038e-01       4.225472264912e+02 
       6.024338922199e-01       4.176407541111e+02 
       6.056624856610e-01       4.128081892968e+02 
       6.088910792254e-01       4.080451721410e+02 
       6.121196729109e-01       4.033514980719e+02 
       6.153482667157e-01       3.987296557011e+02 
       6.185768606378e-01       3.941811881721e+02 
       6.218054546756e-01       3.897121185693e+02 
       6.250340488271e-01       3.853184309974e+02 
       6.282626430906e-01       3.809999485297e+02 
       6.314912374645e-01       3.767533472248e+02 
       6.347198319469e-01       3.725778761487e+02 
       6.379484265362e-01       3.684656487822e+02 
       6.411770212309e-01       3.644189050555e+02 
       6.444056160294e-01       3.604365561838e+02 
       6.476342109300e-01       3.565179748833e+02 
       6.508628059313e-01       3.526613429118e+02 
       6.540914010318e-01       3.488629272431e+02 
       6.573199962299e-01       3.451191784503e+02 
       6.605485915244e-01       3.414276940737e+02 
       6.637771869137e-01       3.377867985741e+02 
       6.670057823964e-01       3.341965750181e+02 
       6.702343779713e-01       3.306584137021e+02 
       6.734629736370e-01       3.271722620690e+02 
       6.766915693922e-01       3.237380639275e+02 
       6.799201652356e-01       3.203548682423e+02 
       6.831487611659e-01       3.170196144748e+02 
       6.863773571820e-01       3.137308711838e+02 
