# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.907155168681e-02       2.437849145497e+04 
       4.945815867341e-02       2.422076664236e+04 
       4.985926364506e-02       2.406136498437e+04 
       5.027618588681e-02       2.390014582428e+04 
       5.071041917029e-02       2.373707114729e+04 
       5.116366203217e-02       2.357174709795e+04 
       5.163785447463e-02       2.340393777127e+04 
       5.213522265879e-02       2.323345247584e+04 
       5.265833357557e-02       2.305983559113e+04 
       5.321016219530e-02       2.288281892600e+04 
       5.379417422846e-02       2.270176857263e+04 
       5.441442837222e-02       2.251622032996e+04 
       5.507570273043e-02       2.232533885918e+04 
       5.578365085150e-02       2.212831672567e+04 
       5.654499322910e-02       2.192399364309e+04 
       5.736774950186e-02       2.171093515069e+04 
       5.826151364575e-02       2.148733039852e+04 
       5.923776661921e-02       2.125066762501e+04 
       6.031020354924e-02       2.099777749707e+04 
       6.149501788892e-02       2.072427180917e+04 
       6.281102206659e-02       2.042456004891e+04 
       6.427938303153e-02       2.009090246307e+04 
       6.592261985865e-02       1.971361152818e+04 
       6.776241751004e-02       1.928046540619e+04 
       6.981594577067e-02       1.877793157024e+04 
       7.209102948614e-02       1.819305408036e+04 
       7.458175928496e-02       1.751749979675e+04 
       7.726713099033e-02       1.675205969017e+04 
       8.011444999506e-02       1.591006245105e+04 
       8.308630573260e-02       1.501698260796e+04 
       8.614758783256e-02       1.410631918810e+04 
       8.926970205547e-02       1.321376933599e+04 
       9.243159685326e-02       1.237158124440e+04 
       9.561881257747e-02       1.160478205971e+04 
       9.882186365469e-02       1.092924028338e+04 
       1.020347088500e-01       1.035172402492e+04 
       1.052535715013e-01       9.870482691986e+03 
       1.084761176480e-01       9.477043129152e+03 
       1.117009149765e-01       9.157824584108e+03 
       1.149270881487e-01       8.895936090425e+03 
       1.181541034701e-01       8.672908966771e+03 
       1.213816359200e-01       8.470392363891e+03 
       1.246094876149e-01       8.271683052939e+03 
       1.278375380211e-01       8.063270819226e+03 
       1.310657136303e-01       7.835663766434e+03 
       1.342939695167e-01       7.584179440982e+03 
       1.375222781304e-01       7.308871308585e+03 
       1.407506224908e-01       7.013874153962e+03 
       1.439789920525e-01       6.706359960174e+03 
       1.472073801948e-01       6.395323743248e+03 
       1.504357826962e-01       6.090242744576e+03 
       1.536641968071e-01       5.799853608867e+03 
       1.568926206863e-01       5.531388217441e+03 
       1.601210530564e-01       5.289883664695e+03 
       1.633494929949e-01       5.078017276583e+03 
       1.665779398055e-01       4.896108317365e+03 
       1.698063929390e-01       4.742394485136e+03 
       1.730348519448e-01       4.613329498826e+03 
       1.762633164406e-01       4.504157184119e+03 
       1.794917860930e-01       4.409382175638e+03 
       1.827202606052e-01       4.323319631901e+03 
       1.859487397091e-01       4.241572620268e+03 
       1.891772231599e-01       4.158573787288e+03 
       1.924057107322e-01       4.070378170978e+03 
       1.956342022175e-01       3.974640505923e+03 
       1.988626974218e-01       3.870535494000e+03 
       2.020911961645e-01       3.758686641719e+03 
       2.053196982768e-01       3.640896476657e+03 
