# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  119       5.721517640075e+03       7.004726359683e-01       0.000000000000e+00      -2.359240173664e-01       3.224002591330e-07      -9.892590855542e-04      -1.057891968870e-08 
  120       5.730434390054e+03       7.206236457459e-01       0.000000000000e+00       2.437927441114e+00       3.202781926535e-07      -9.764432146969e-04      -9.051554619650e-09 
  121       5.737314035166e+03       7.448720671380e-01       0.000000000000e+00       5.161195933646e+00       3.181760126300e-07      -9.638525731338e-04      -7.623561878382e-09 
  122       5.742156924785e+03       7.734240476699e-01       0.000000000000e+00       7.930546129042e+00       3.160921494588e-07      -9.514505504325e-04      -6.279091382815e-09 
  123       5.744965625290e+03       8.064899537041e-01       0.000000000000e+00       1.074244851172e+01       3.140227445390e-07      -9.391923375146e-04      -5.000011130823e-09 
  124       5.745744267378e+03       8.442765219617e-01       0.000000000000e+00       1.359329906700e+01       3.119636450383e-07      -9.270381226792e-04      -3.771068791941e-09 
  125       5.744496410309e+03       8.869622496779e-01       0.000000000000e+00       1.647980078286e+01       3.099173760489e-07      -9.149961745476e-04      -2.596607058501e-09 
  126       5.741227015874e+03       9.347192320285e-01       0.000000000000e+00       1.939861963454e+01       3.078873459328e-07      -9.030863042903e-04      -1.486503572133e-09 
  127       5.735943161310e+03       9.877207473150e-01       0.000000000000e+00       2.234626319245e+01       3.058756479737e-07      -8.913267583616e-04      -4.511689421813e-10 
  128       5.728654077812e+03       1.046141220300e+00       0.000000000000e+00       2.531907828514e+01       3.038829242168e-07      -8.797340860499e-04       4.984386971283e-10 
  129       5.719371189051e+03       1.110156185541e+00       0.000000000000e+00       2.831324866230e+01       3.019082238478e-07      -8.683230042600e-04       1.350798957420e-09 
  130       5.708108149693e+03       1.179942250728e+00       0.000000000000e+00       3.132479265774e+01       2.999488560242e-07      -8.571062595292e-04       2.093814294814e-09 
  131       5.694879142899e+03       1.255669309006e+00       0.000000000000e+00       3.434962719431e+01       2.980018694908e-07      -8.460927783683e-04       2.719785364168e-09 
  132       5.679693483164e+03       1.337476302605e+00       0.000000000000e+00       3.738377257540e+01       2.960691931114e-07      -8.352820827458e-04       3.241284814198e-09 
  133       5.662560500303e+03       1.425492758287e+00       0.000000000000e+00       4.042316550938e+01       2.941533085022e-07      -8.246687044144e-04       3.677823771277e-09 
