# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   68       3.360628526496e+03       1.032330979024e+00       9.994007472587e-03      -3.683690082011e+01       4.425617234695e-07      -1.979767995990e-03      -4.129164039316e-07 
   69       3.422884735460e+03       1.047584524781e+00       1.029993046550e-02      -3.782786345367e+01       4.402945645997e-07      -1.952173129819e-03      -3.890461837295e-07 
   70       3.485311111529e+03       1.061512793140e+00       1.061120032290e-02      -3.878168170048e+01       4.380044817848e-07      -1.925366640578e-03      -3.689001221205e-07 
   71       3.547800595916e+03       1.074071467405e+00       1.092786866527e-02      -3.969497872206e+01       4.357028398825e-07      -1.899326601779e-03      -3.515643292476e-07 
   72       3.610232968632e+03       1.085219794787e+00       1.124998841114e-02      -4.056435409417e+01       4.333839837488e-07      -1.873964601855e-03      -3.358910356586e-07 
   73       3.672505864951e+03       1.094921424353e+00       1.157761182631e-02      -4.138658620905e+01       4.310334025655e-07      -1.849144312224e-03      -3.207613092856e-07 
   74       3.734635796828e+03       1.103146664412e+00       1.191078421702e-02      -4.215927682709e+01       4.286630248875e-07      -1.824759256961e-03      -3.060027529135e-07 
   75       3.796675402573e+03       1.109871013678e+00       1.224954905845e-02      -4.288033493093e+01       4.262835943742e-07      -1.800664478685e-03      -2.916977089078e-07 
   76       3.858683766678e+03       1.115074768497e+00       1.259394982077e-02      -4.354779576918e+01       4.238925476748e-07      -1.776647193085e-03      -2.779234999155e-07 
   77       3.920701406169e+03       1.118743901481e+00       1.294402798714e-02      -4.415960177790e+01       4.214802748010e-07      -1.752507311466e-03      -2.647352698842e-07 
   78       3.982669652748e+03       1.120872410789e+00       1.329981676516e-02      -4.471288306916e+01       4.190568350629e-07      -1.728338102426e-03      -2.521112017432e-07 
   79       4.044496996095e+03       1.121460782516e+00       1.366134618040e-02      -4.520456055671e+01       4.166306087309e-07      -1.704309917687e-03      -2.399909167911e-07 
   80       4.106082654708e+03       1.120515584349e+00       1.402864485726e-02      -4.563156413321e+01       4.141989906203e-07      -1.680588854737e-03      -2.282884858635e-07 
