# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  100       1.966318974867e+03       3.539860993069e-01       0.000000000000e+00      -6.535216155223e+00       4.389618491124e-08       6.833027471215e-04      -1.080151767534e-06 
  101       1.983915684601e+03       3.637706179059e-01       0.000000000000e+00      -6.870368101662e+00       4.361298795633e-08       6.756202573470e-04      -1.085851716009e-06 
  102       2.001625910626e+03       3.736612209575e-01       0.000000000000e+00      -7.211526413081e+00       4.333620867512e-08       6.681203966862e-04      -1.091229306711e-06 
  103       2.019452800416e+03       3.836544840857e-01       0.000000000000e+00      -7.558599215667e+00       4.306668011390e-08       6.608074804567e-04      -1.096306465097e-06 
  104       2.037398725234e+03       3.937468383333e-01       0.000000000000e+00      -7.911489849387e+00       4.280479798510e-08       6.536809382494e-04      -1.101107485361e-06 
  105       2.055465245421e+03       4.039345686394e-01       0.000000000000e+00      -8.270096845866e+00       4.255046642128e-08       6.467349464461e-04      -1.105659104073e-06 
  106       2.073653075676e+03       4.142138123170e-01       0.000000000000e+00      -8.634313906265e+00       4.230304109229e-08       6.399580521450e-04      -1.109990574536e-06 
  107       2.091962050351e+03       4.245805575306e-01       0.000000000000e+00      -9.004029879163e+00       4.206126963529e-08       6.333327884956e-04      -1.114133741892e-06 
  108       2.110391088730e+03       4.350306417739e-01       0.000000000000e+00      -9.379128738433e+00       4.182322934714e-08       6.268352814420e-04      -1.118123118948e-06 
  109       2.128938160319e+03       4.455597503469e-01       0.000000000000e+00      -9.759489561121e+00       4.158626208901e-08       6.204348478748e-04      -1.121995962744e-06 
  110       2.147600250132e+03       4.561634148340e-01       0.000000000000e+00      -1.014498650533e+01       4.134690635272e-08       6.140935851918e-04      -1.125792351853e-06 
  111       2.166374865251e+03       4.668371499275e-01       0.000000000000e+00      -1.053549215564e+01       4.110192273265e-08       6.077772917938e-04      -1.129549045982e-06 
  112       2.185264846108e+03       4.775768868847e-01       0.000000000000e+00      -1.093088808902e+01       4.085182794306e-08       6.014915208432e-04      -1.133279558877e-06 
  113       2.204274103428e+03       4.883785924669e-01       0.000000000000e+00      -1.133105561419e+01       4.059811634027e-08       5.952515844628e-04      -1.136990447873e-06 
  114       2.223406111916e+03       4.992381353245e-01       0.000000000000e+00      -1.173587253419e+01       4.034222619943e-08       5.890717029938e-04      -1.140687100594e-06 
  115       2.242663890417e+03       5.101512858103e-01       0.000000000000e+00      -1.214521315675e+01       4.008552495606e-08       5.829648917474e-04      -1.144373629393e-06 
  116       2.262049982083e+03       5.211137157921e-01       0.000000000000e+00      -1.255894830468e+01       3.982929367196e-08       5.769428450561e-04      -1.148052763285e-06 
  117       2.281566434532e+03       5.321209984661e-01       0.000000000000e+00      -1.297694532625e+01       3.957471071071e-08       5.710158176227e-04      -1.151725737396e-06 
  118       2.301214780019e+03       5.431686081693e-01       0.000000000000e+00      -1.339906810559e+01       3.932283460839e-08       5.651925031684e-04      -1.155392179907e-06 
  119       2.320996015592e+03       5.542519201930e-01       0.000000000000e+00      -1.382517707305e+01       3.907458612472e-08       5.594799103801e-04      -1.159049996504e-06 
  120       2.340910583259e+03       5.653662105953e-01       0.000000000000e+00      -1.425512921562e+01       3.883072946013e-08       5.538832361554e-04      -1.162695252336e-06 
  121       2.360958350152e+03       5.765066560144e-01       0.000000000000e+00      -1.468877808725e+01       3.859185262418e-08       5.484057361471e-04      -1.166322051468e-06 
  122       2.381138588690e+03       5.876683334811e-01       0.000000000000e+00      -1.512597381933e+01       3.835834694063e-08       5.430485926057e-04      -1.169922413848e-06 
  123       2.401449956739e+03       5.988462202323e-01       0.000000000000e+00      -1.556656313098e+01       3.813038567468e-08       5.378107795217e-04      -1.173486149767e-06 
  124       2.421890477783e+03       6.100351935237e-01       0.000000000000e+00      -1.601038933950e+01       3.790790176768e-08       5.326889250649e-04      -1.177000731834e-06 
  125       2.442457521080e+03       6.212300304427e-01       0.000000000000e+00      -1.645729237070e+01       3.769056466480e-08       5.276771713244e-04      -1.180451164444e-06 
  126       2.463147781830e+03       6.324254077211e-01       0.000000000000e+00      -1.690710876935e+01       3.747775622104e-08       5.227670313452e-04      -1.183819850758e-06 
  127       2.483957261336e+03       6.436159015487e-01       0.000000000000e+00      -1.735967170949e+01       3.726854567089e-08       5.179472434655e-04      -1.187086457181e-06 
  128       2.504881247170e+03       6.547959873858e-01       0.000000000000e+00      -1.781481100489e+01       3.706166364722e-08       5.132036229508e-04      -1.190227775348e-06 
  129       2.525914293334e+03       6.659600397761e-01       0.000000000000e+00      -1.827235311936e+01       3.685547523461e-08       5.085189109286e-04      -1.193217581609e-06 
  130       2.547050200427e+03       6.771023321600e-01       0.000000000000e+00      -1.873212117720e+01       3.664795204270e-08       5.038726206198e-04      -1.196026494025e-06 
  131       2.568283617526e+03       6.882172003534e-01       0.000000000000e+00      -1.919393741739e+01       3.643725301621e-08       4.992466962056e-04      -1.198628402718e-06 
