# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   73       2.004412352161e+03       3.386417999660e-01       0.000000000000e+00      -6.653305791527e+00       1.044197005278e-07       5.188551407776e-04      -1.780176892851e-06 
   74       2.030381073188e+03       3.515071040653e-01       0.000000000000e+00      -7.114265735673e+00       1.037266003212e-07       5.118176439549e-04      -1.783747846223e-06 
   75       2.056582386005e+03       3.645629147197e-01       0.000000000000e+00      -7.586475993348e+00       1.030390300691e-07       5.049814706361e-04      -1.784894866932e-06 
   76       2.083016984916e+03       3.778005020486e-01       0.000000000000e+00      -8.069613012504e+00       1.023606056202e-07       4.983513841706e-04      -1.784078767168e-06 
   77       2.109682267102e+03       3.912106223774e-01       0.000000000000e+00      -8.563327111811e+00       1.016917698653e-07       4.919200146389e-04      -1.781845317936e-06 
   78       2.136572153457e+03       4.047835103580e-01       0.000000000000e+00      -9.067242061323e+00       1.010292573619e-07       4.856666319461e-04      -1.778830707153e-06 
   79       2.163676909406e+03       4.185088710910e-01       0.000000000000e+00      -9.580954663148e+00       1.003655236246e-07       4.795558802593e-04      -1.775767133948e-06 
   80       2.190987138476e+03       4.323761875996e-01       0.000000000000e+00      -1.010406623889e+01       9.969217246594e-08       4.735512448304e-04      -1.773348827531e-06 
   81       2.218506955900e+03       4.463757220823e-01       0.000000000000e+00      -1.063628431198e+01       9.901304866113e-08       4.676624811440e-04      -1.771776604634e-06 
   82       2.246242786448e+03       4.604976749752e-01       0.000000000000e+00      -1.117733790128e+01       9.833451895066e-08       4.619080971902e-04      -1.771105665926e-06 
   83       2.274199294556e+03       4.747318830355e-01       0.000000000000e+00      -1.172694735169e+01       9.766157366244e-08       4.563010771105e-04      -1.771373334891e-06 
   84       2.302379282427e+03       4.890678173025e-01       0.000000000000e+00      -1.228482450563e+01       9.699755945985e-08       4.508482837575e-04      -1.772597185559e-06 
   85       2.330783588132e+03       5.034945810589e-01       0.000000000000e+00      -1.285067287462e+01       9.634389473499e-08       4.455498429853e-04      -1.774773113576e-06 
   86       2.359410983707e+03       5.180009077916e-01       0.000000000000e+00      -1.342418781079e+01       9.569976721970e-08       4.403985096722e-04      -1.777873350653e-06 
   87       2.388258073253e+03       5.325751591531e-01       0.000000000000e+00      -1.400505667842e+01       9.506181338674e-08       4.353790154749e-04      -1.781844422361e-06 
   88       2.417319191035e+03       5.472053229226e-01       0.000000000000e+00      -1.459295902548e+01       9.442377921359e-08       4.304673983139e-04      -1.786605049298e-06 
   89       2.446588785926e+03       5.618791905356e-01       0.000000000000e+00      -1.518755822416e+01       9.377911074410e-08       4.256396223217e-04      -1.792061292387e-06 
   90       2.476069225503e+03       5.765849260329e-01       0.000000000000e+00      -1.578847451557e+01       9.313049506151e-08       4.209013212536e-04      -1.798160934599e-06 
   91       2.505764034110e+03       5.913105830203e-01       0.000000000000e+00      -1.639530803300e+01       9.248261426427e-08       4.162637548203e-04      -1.804847873778e-06 
   92       2.535675451752e+03       6.060439336868e-01       0.000000000000e+00      -1.700764699963e+01       9.183931049352e-08       4.117347943217e-04      -1.812044425554e-06 
   93       2.565804369439e+03       6.207724694560e-01       0.000000000000e+00      -1.762506777228e+01       9.120343633722e-08       4.073185978649e-04      -1.819649753632e-06 
   94       2.596150264533e+03       6.354834016373e-01       0.000000000000e+00      -1.824713488512e+01       9.057669644124e-08       4.030152766640e-04      -1.827538260818e-06 
   95       2.626711136102e+03       6.501636620773e-01       0.000000000000e+00      -1.887340109342e+01       8.995948013151e-08       3.988205524200e-04      -1.835557940785e-06 
   96       2.657483440261e+03       6.647999038111e-01       0.000000000000e+00      -1.950340741728e+01       8.935068485138e-08       3.947254057820e-04      -1.843528690567e-06 
   97       2.688462025526e+03       6.793785017135e-01       0.000000000000e+00      -2.013668318534e+01       8.874753021827e-08       3.907157158886e-04      -1.851240583801e-06 
   98       2.719640068157e+03       6.938855531502e-01       0.000000000000e+00      -2.077274607853e+01       8.814536250373e-08       3.867718909907e-04      -1.858452104694e-06 
   99       2.751010936944e+03       7.083071905290e-01       0.000000000000e+00      -2.141111017861e+01       8.753949644767e-08       3.828750715728e-04      -1.864935661137e-06 
  100       2.782574228689e+03       7.226305680584e-01       0.000000000000e+00      -2.205131132010e+01       8.693180969228e-08       3.790280909177e-04      -1.870629224218e-06 
  101       2.814330471469e+03       7.368430166148e-01       0.000000000000e+00      -2.269288542721e+01       8.632561404496e-08       3.752382496686e-04      -1.875513446816e-06 
  102       2.846279230725e+03       7.509317486878e-01       0.000000000000e+00      -2.333536096828e+01       8.572368721910e-08       3.715109624493e-04      -1.879566973865e-06 
  103       2.878419067999e+03       7.648838628120e-01       0.000000000000e+00      -2.397825909660e+01       8.512818756210e-08       3.678495928397e-04      -1.882766269870e-06 
  104       2.910747499663e+03       7.786863479987e-01       0.000000000000e+00      -2.462109379116e+01       8.454056427246e-08       3.642552842424e-04      -1.885085441750e-06 
  105       2.943260955663e+03       7.923260881679e-01       0.000000000000e+00      -2.526337199740e+01       8.396146301535e-08       3.607267866398e-04      -1.886496057002e-06 
  106       2.975954738246e+03       8.057898665806e-01       0.000000000000e+00      -2.590459376793e+01       8.339062684592e-08       3.572602792444e-04      -1.886966957186e-06 
  107       3.008822980700e+03       8.190643702699e-01       0.000000000000e+00      -2.654425240338e+01       8.282679234997e-08       3.538491890386e-04      -1.886464066739e-06 
  108       3.041858606087e+03       8.321361944734e-01       0.000000000000e+00      -2.718183459305e+01       8.226758091107e-08       3.504840052070e-04      -1.884950197103e-06 
  109       3.075053285979e+03       8.449918470650e-01       0.000000000000e+00      -2.781682055578e+01       8.170938501374e-08       3.471520894601e-04      -1.882384846187e-06 
  110       3.108399039331e+03       8.576180884980e-01       0.000000000000e+00      -2.844868875478e+01       8.114872898773e-08       3.438419961617e-04      -1.878745030565e-06 
  111       3.141893350197e+03       8.700029915709e-01       0.000000000000e+00      -2.907693042636e+01       8.058701790977e-08       3.405578054911e-04      -1.874092798622e-06 
  112       3.175534630796e+03       8.821350262139e-01       0.000000000000e+00      -2.970103718264e+01       8.002677000325e-08       3.373071714385e-04      -1.868520254243e-06 
