x,y
766,2364.303751
767,2372.271906
768,2380.145216
769,2387.918559
770,2395.586763
771,2403.14511
772,2410.590841
773,2417.921677
774,2425.135323
775,2432.229468
776,2439.201784
777,2446.04993
778,2452.771544
779,2459.364252
780,2465.825661
781,2472.153363
782,2478.344933
783,2484.397931
784,2490.309899
785,2496.078362
786,2501.70083
787,2507.174796
788,2512.497735
789,2517.667108
790,2522.680357
791,2527.534909
792,2532.228171
793,2536.757537
794,2541.120382
795,2545.314065
796,2549.335927
797,2553.183292
798,2556.853468
799,2560.343745
800,2563.651397
801,2566.773679
802,2569.70783
803,2572.451071
804,2575.000607
805,2577.353624
806,2579.507291
807,2581.458761
808,2583.205167
809,2584.743627
810,2586.07124
811,2587.185627
812,2588.086564
813,2588.77438
814,2589.249415
815,2589.512028
816,2589.562588
817,2589.401481
818,2589.029108
819,2588.445883
820,2587.652235
821,2586.648608
822,2585.435462
823,2584.01327
824,2582.382521
825,2580.543719
826,2578.497381
827,2576.244042
828,2573.78425
829,2571.11857
830,2568.24758
831,2565.171876
832,2561.892066
833,2558.408776
834,2554.722647
835,2550.834335
836,2546.744512
837,2542.453865
838,2537.963096
839,2533.272926
840,2528.384087
841,2523.297331
842,2518.013424
843,2512.533148
844,2506.857301
845,2500.986697
846,2494.922167
847,2488.664557
848,2482.21473
849,2475.573565
850,2468.741957
851,2461.721083
852,2454.513201
853,2447.120863
